1,Planet Earth,50,Documentary,Nature,David Attenborough
2,The Last Dance,60,Sports,Basketball,Michael Jordan
3,Inside Job,108,Documentary,Finance,Matt Damon
4,Blackfish,83,Documentary,Animal Rights,Gabriela Cowperthwaite
5,13th,100,Documentary,Social Justice,Ava DuVernay
6,Super Size Me,100,Documentary,Fast Food,Morgan Spurlock
7,An Inconvenient Truth,96,Documentary,Climate Change,Al Gore
8,The Social Dilemma,94,Documentary,Technology,Jeff Orlowski
9,Won’t You Be My Neighbor,95,Documentary,Biography,Morgan Neville
10,Free Solo,100,Documentary,Climbing,Jimmy Chin|Elizabeth Chai Vasarhelyi
