1,Noticias Univision,60,News,Univision,Jorge Ramos|Ilia Calderón
2,Noticias Telemundo,30,News,Telemundo,José Díaz-Balart|Vanessa Hauc
3,TN Noticias,20,News,TN (Todo Noticias),María Laura Santillán|Sergio Lapegüe
4,El Noticiero,25,News,Canal 13,Marcelo Bonelli|Luciana Geuna
5,24 Horas,60,News,TVN,Constanza Santa María|Iván Núñez
6,Canal N Noticias,30,News,Canal N,José Mariño|Catherine Ayasta
7,Noticieros Caracol,40,News,Caracol Televisión,Juan Diego Alvira|María Lucía Fernández
8,Telefe Noticias,30,News,Telefe,Rodolfo Barili|Cristina Pérez
9,América Noticias,45,News,América TV,Matías Prats|Soledad Larghi
10,Noticias RCN,60,News,RCN,Jessica de la Peña|Juan Eduardo Jaramillo
