1,Inception,148,Sci-Fi,Warner Bros,Leonardo DiCaprio|Ellen Page|Joseph Gordon-Levitt
2,The Dark Knight,152,Action,Warner Bros,Christian Bale|Heath Ledger|Aaron Eckhart
3,Avatar,162,Fantasy,20th Century Fox,Sam Worthington|Zoe Saldana|Sigourney Weaver
4,Titanic,195,Romance,Paramount Pictures,Leonardo DiCaprio|Kate Winslet
5,The Matrix,136,Sci-Fi,Warner Bros,Keanu Reeves|Carrie-Anne Moss|Laurence Fishburne
6,The Godfather,175,Crime,Paramount Pictures,Marlon Brando|Al Pacino|James Caan
7,Forrest Gump,142,Drama,Paramount Pictures,Tom Hanks|Robin Wright|Gary Sinise
8,Gladiator,155,Action,Universal Pictures,Russell Crowe|Joaquin Phoenix
9,Interstellar,169,Sci-Fi,Paramount Pictures,Matthew McConaughey|Anne Hathaway
10,The Avengers,143,Action,Marvel Studios,Robert Downey Jr.|Chris Evans|Scarlett Johansson
