1,Stranger Things,50,Drama|Sci-Fi,1-8|2-9|3-8|4-9
2,Game of Thrones,55,Fantasy|Drama,1-10|2-10|3-10|4-10|5-10|6-10|7-7|8-6
3,Breaking Bad,47,Drama|Crime,1-7|2-13|3-13|4-13|5-16
4,The Crown,58,Drama|Historical,1-10|2-10|3-10|4-10|5-10
5,The Witcher,60,Fantasy|Action,1-8|2-8|3-8
6,Friends,22,Comedy|Romance,1-24|2-24|3-25|4-24|5-24|6-25|7-24|8-24|9-24|10-18
7,The Office,22,Comedy|Mockumentary,1-6|2-22|3-23|4-14|5-26|6-24|7-26|8-24|9-25
8,The Mandalorian,40,Sci-Fi|Adventure,1-8|2-8|3-8
9,Money Heist,45,Drama|Crime,1-13|2-9|3-8|4-8|5-10
10,Downton Abbey,47,Drama|Historical,1-7|2-8|3-9|4-9|5-9|6-8
